runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,region,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,msvtx_nTGC_s,scoreNN1e,scoreNN2e,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw
410000,14314,537836,1.2791496e-10,0.47826087,0.0,12.730785,3.1826963,3.65505,6.154657,0.8733483,0.0,2.379908,0.4180679,3.2631373,0.0,0.32015604,0.0,1.9610363,0.0,45000.113,53601.82,11,23,17,5,5,7,13,25,18,6,6,8,1572.0,0.3384181478232374,0.7094643734616046,0.0,0.0,0.18383077,0.22018427,2366.0,0.2522446,-1.8986754,6.4873166,4.6483846,5.0,barrel,,,,,,,,,,
410000,46137,537836,0.0,0.6666667,5.686253,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2254773,0.0,49997.184,86793.68,8,12,18,15,3,6,8,13,19,16,4,7,4060.0,0.4991287634326774,0.7986358441562135,0.0,0.0,0.30151153,0.34069386,5361.0,0.5140439,0.0,0.0,-1.0,3.0,barrel,,,,,,,,,,
410000,48640,537836,1.3031991e-10,0.33333334,0.0,15.338238,1.3943852,1.7213851,3.5683591,0.44559747,0.0,2.4206977,1.0674893,3.8037136,0.049968846,0.026732871,0.0,2.6658623,0.0,165002.77,167925.83,7,21,19,3,3,2,7,21,19,3,3,2,3287.0,0.3760331811447145,0.8334013917392942,0.0,0.0,0.29778007,0.39288008,4452.0,0.2662691,0.89414555,3.7207346,5.007,3.0,barrel,,,,,,,,,,
410000,47000,537836,4.9692656e-10,0.14285715,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7124653,0.0,49517.14,21089.16,1,7,20,9,5,8,1,7,20,10,6,9,1977.0,0.5653772826853627,0.7367224173573232,0.0,0.0,0.33023614,0.40933678,2796.0,0.3509116,0.0,0.0,-1.0,3.0,barrel,,,,,,,,,,
410000,545,537836,4.1983726e-12,0.1,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0847962,0.0,116513.86,120586.44,1,10,22,9,1,3,1,10,23,9,1,3,1825.0,0.528063403599978,0.8798609270105694,0.0,0.0,0.21767147,0.27412993,2726.0,0.0059648156,0.0,0.0,-1.0,5.0,barrel,,,,,,,,,,
410000,127442,537836,0.0,0.75,0.0,19.022635,2.7175193,3.1547096,5.0379786,0.39501458,0.0,1.7736679,0.929059,5.795187,0.3120432,0.28626746,-0.0019789112,1.9726639,0.0,204415.77,177865.33,15,20,17,9,2,2,15,20,17,9,2,2,1942.0,0.1891266560915869,0.9529746385461308,0.0,0.0,0.29278648,0.3490731,2976.0,0.4379921,-5.09737,7.7561307,2.5325468,9.0,barrel,,,,,,,,,,
410000,127520,537836,0.0,0.46153846,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2741638,0.8388076,79201.29,73844.94,6,13,19,16,3,4,10,16,20,16,3,4,1120.0,0.2579931991964078,0.739378467804369,0.0,0.0,0.17749827,0.21102251,1591.0,0.16547501,0.0,0.0,-1.0,6.0,barrel,,,,,,,,,,
410000,84931,537836,1.3553032e-10,0.09090909,16.535645,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6099646,0.0,64543.477,67389.01,2,22,23,7,1,0,2,23,24,7,1,0,1399.0,0.5895615524258935,0.4022346808394673,0.756574,0.75658023,0.10836563,0.13401642,1873.0,0.6485505,0.0,0.0,-1.0,3.0,barrel,,,,,,,,,,
410000,34561,537836,3.2225325e-10,0.18518518,13.1408415,3.4250221,1.7125111,1.9383837,2.6206064,1.1889989,0.0,0.47199914,0.0,0.00899441,0.0,0.0,0.0,1.6628268,0.0,66137.18,61663.586,5,27,22,3,3,2,5,27,22,3,3,2,2567.0,0.5168246624206674,0.8859809749721868,0.0,0.0,0.21123813,0.22629061,3225.0,0.58471376,-0.97507936,1.3789704,0.0,5.0,barrel,,,,,,,,,,
410000,147617,537836,1.3972885e-10,0.37931034,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.930174,0.0,66369.12,55528.344,11,29,21,3,2,5,13,33,24,4,3,5,2016.0,0.57722933757028,0.9213841353734517,0.0,0.0,0.12728082,0.14608134,2973.0,0.050966084,0.0,0.0,-1.0,6.0,barrel,,,,,,,,,,
410000,121446,537836,1.16097465e-10,0.13043478,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2600483,0.0,75712.45,80977.75,3,23,19,13,6,5,4,25,22,13,6,5,1697.0,0.4781521071498678,0.6052451796081368,0.0,0.0,0.188657,0.26379436,2298.0,1.8683954,0.0,0.0,-1.0,4.0,barrel,,,,,,,,,,
410000,1592,537836,1.53913e-10,0.11111111,5.671481,0.53160363,0.53160363,0.53160363,0.53160363,0.0,0.0,0.0,0.012943319,0.11600184,0.0,0.092999786,0.0,0.8271943,0.0,59521.844,54237.117,3,27,16,4,3,11,3,28,17,6,4,12,1244.0,0.5736343305342677,0.0913971330283014,0.0,0.0,0.17623283,0.2159994,1842.0,2.4977355,5.7982216,5.7982216,5.7982216,3.0,barrel,,,,,,,,,,
