runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
474679,824709828,0,1.0,0.625,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.653041362762451,0.0,37420.06640625,63620.69921875,15,24,17,14,20,14,18,25,19,15,22,14,977
479327,497816678,0,1.0,0.5909090638160706,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9505937099456787,0.0,31248.466796875,29032.267578125,13,22,16,6,11,12,14,22,17,6,12,13,863
474600,307143953,0,1.0,0.5416666865348816,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6983911991119385,3.9065821170806885,36499.6640625,39535.46875,13,24,17,11,9,14,15,26,19,11,9,14,1256
474600,415675618,0,1.0,0.8571428656578064,22.93121910095215,36.57434844970703,3.6574349403381348,5.517485618591309,14.607889175415039,1.334859013557434,0.0,3.574838161468506,9.226349830627441,7.331853866577148,1.1388245820999146,0.024928893893957138,0.3418530225753784,0.9038819074630737,0.0,37796.48046875,35897.375,6,7,17,8,13,13,12,8,21,9,14,14,1182
473915,432479032,0,1.0,0.3571428656578064,0.0,22.78778648376465,1.7529067993164062,2.200331449508667,4.645137786865234,2.880702257156372,0.0,5.338548183441162,0.15959975123405457,4.566235065460205,0.976092517375946,0.22882674634456635,0.5341274738311768,3.582446336746216,2.585970401763916,30658.029296875,41791.97265625,5,14,21,11,16,14,6,14,22,11,17,15,1055
476718,1724241886,0,1.0,0.5,7.152772426605225,16.856412887573242,2.8094022274017334,5.240106582641602,12.555778503417969,0.2685491144657135,0.0,2.4280571937561035,0.013110244646668434,8.660635948181152,0.0,-0.025442633777856827,0.0,1.2133816480636597,3.6197822093963623,36688.05859375,28992.857421875,8,16,20,12,22,21,11,20,21,14,23,23,829
476718,2226227272,0,1.0,0.44999998807907104,6.838421821594238,26.242136001586914,2.624213695526123,4.680071830749512,13.847271919250488,2.342266082763672,0.0,6.440291404724121,0.0,9.608209609985352,0.0,0.07295916229486465,0.0,3.0509090423583984,3.70355486869812,23653.005859375,30914.76171875,9,20,25,12,9,17,10,22,26,12,9,18,1372
476718,474631411,0,1.0,0.375,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.620501160621643,0.0,0.0,22170.4921875,9,24,16,17,11,22,9,27,16,21,11,22,1036
480032,1712042247,0,1.0,0.523809552192688,0.0,10.295356750488281,3.4317853450775146,4.6879191398620605,7.855276107788086,-0.0686546042561531,0.0,1.1115484237670898,4.081142425537109,0.25531306862831116,0.2298569232225418,0.06648976355791092,-0.03011319972574711,3.5172085762023926,0.0,38045.5234375,40020.5,11,21,18,12,25,17,13,21,18,14,26,18,1143
474600,674697137,0,1.0,0.6666666865348816,35.267601013183594,26.51775550842285,2.9464175701141357,3.966381072998047,9.185283660888672,1.028778314590454,0.0,4.801680088043213,3.372206449508667,7.538142204284668,-0.16551873087882996,0.3478224575519562,0.0,1.6885392665863037,3.0706629753112793,32221.3984375,53266.78515625,6,9,19,14,16,21,10,9,21,19,17,23,2449
