runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_BIBM_raw,track_scalar_sum_pt_barrel_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
474679,824709828,0,1.0,0.625,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6530414,0.0,37420.066,63620.7,15,24,17,14,20,14,18,25,19,15,22,14,977,0.565582162956201,0.21851118733968633
474679,1754021186,0,1.0,0.75,20.621899,46.64737,7.7745624,10.742517,18.2999,1.1180122,0.0,5.5447855,3.0275176,8.677415,7.7458105,1.5088586,2.533571,0.92276293,0.0,24257.45,56068.656,9,12,19,3,14,10,9,12,19,3,14,10,832,0.008883155045083635,0.3322620324873783
476718,1724241886,0,1.0,0.5,7.1527724,16.856413,2.8094022,5.2401066,12.5557785,0.2685491,0.0,2.4280572,0.013110245,8.660636,0.0,-0.025442634,0.0,1.2133816,3.6197822,36688.06,28992.857,8,16,20,12,22,21,11,20,21,14,23,23,829,0.005198078323768396,0.11188496265438308
476718,2226227272,0,1.0,0.45,6.838422,26.242136,2.6242137,4.680072,13.847272,2.342266,0.0,6.4402914,0.0,9.60821,0.0,0.07295916,0.0,3.050909,3.7035549,23653.006,30914.762,9,20,25,12,9,17,10,22,26,12,9,18,1372,0.0028192243806421935,0.3035831037828025
476718,474631411,0,1.0,0.375,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6205012,0.0,0.0,22170.492,9,24,16,17,11,22,9,27,16,21,11,22,1036,0.49928542735156745,0.11266001183336938
479885,1658997827,0,1.0,0.35714287,0.0,16.042412,1.7824903,2.3203526,4.2469144,1.3321393,0.0,2.6696165,-1.1638186,3.8412895,1.6740041,1.020431,0.40556592,2.1666615,4.111596,35018.617,78834.91,10,28,17,2,20,25,10,31,20,2,20,25,1124,0.001907974098351417,0.3895339953244725
473915,432479032,0,1.0,0.35714287,0.0,22.787786,1.7529068,2.2003314,4.645138,2.8807023,0.0,5.338548,0.15959975,4.566235,0.9760925,0.22882675,0.5341275,3.5824463,2.5859704,30658.03,41791.973,5,14,21,11,16,14,6,14,22,11,17,15,1055,0.013602043908397587,0.14707127167257583
481865,3553166675,0,1.0,0.26086956,5.5108047,25.050745,3.1313431,3.5288284,6.5981464,-0.18311991,0.0,0.21431437,7.987182,4.8553543,0.7487008,-0.12730587,-0.0039048453,2.8141692,4.622782,36508.82,22534.064,6,23,18,8,10,7,6,25,19,8,10,7,1330,0.0003303466705426583,0.3809099544372494
481865,3154074076,0,1.0,0.6363636,0.0,14.14702,2.021003,3.066114,7.3864217,0.90798074,0.0,0.82916397,3.4185529,2.253605,-0.10750553,0.34923658,0.0,2.942991,0.0,36551.82,33732.8,7,11,17,9,12,14,7,12,18,9,13,15,870,0.31982272389404987,0.477915381677834
479327,497816678,0,1.0,0.59090906,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9505937,0.0,31248.467,29032.268,13,22,16,6,11,12,14,22,17,6,12,13,863,0.5819727781636244,0.1821251995140989
