runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
473382,1212379940,0,1.0,0.3030303,0.0,95.47094,8.679176,13.278572,37.8755,0.8509637,24.282337,5.8075113,2.2884102,13.1719885,3.4309206,5.335571,0.45578563,3.3603761,0.0,0.0,28983.896,4,1,2,10,33,35,4,1,2,13,34,39,1042,0.999983060750816,0.16820500127636573
473382,2212897244,0,1.0,0.2631579,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4618855,0.0,26457.068,32841.58,4,0,0,10,38,35,4,0,0,11,39,36,1268,0.7994268875452627,0.14290083823326494
473382,824544570,0,1.0,0.27272728,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2997332,0.0,23355.967,27721.875,7,3,0,12,44,41,8,4,0,14,45,46,1056,0.8236021761888765,0.2128393624874082
473382,1556441672,0,1.0,0.1923077,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5710015,0.0,27114.254,23728.834,5,2,0,10,52,38,5,2,0,11,53,39,1148,0.924902022032269,0.21417067750597785
473382,1941699015,0,1.0,0.4117647,0.0,40.473618,8.094724,10.318628,18.383469,1.2284461,8.252714,-0.14926693,7.8514495,2.4899552,1.6917617,-0.061280224,0.08608654,1.3515207,0.0,12812.458,25114.387,3,0,0,14,34,34,3,0,0,14,35,35,987,0.9485029623007056,0.04059037765014062
474679,1753887572,0,1.0,0.23404256,0.0,73.326416,5.640493,6.8792953,12.278966,3.7440522,2.2754922,6.484945,2.9068608,10.275673,0.33278936,0.6835602,9.2603035,2.6932437,0.0,36115.88,53418.598,5,0,1,11,47,32,5,0,1,12,47,36,1539,0.9998188709528435,0.1689697442317294
479913,2673948565,0,1.0,0.44117647,0.0,85.77479,7.147899,8.670172,20.110971,1.481582,3.247689,15.80516,-0.8908496,22.770924,0.0,3.0241237,0.0,1.0450139,0.0,36771.348,24495.312,1,0,4,15,34,35,1,0,4,20,36,38,1113,0.9999930387107205,0.04564391753504449
479913,3469670940,0,1.0,0.11764706,0.0,28.688856,14.344428,17.51183,24.389404,0.0,3.9552267,-0.043462995,11.108563,1.3603648,2.2651017,-0.022469185,-0.24674971,1.3478252,0.0,33830.453,47329.273,3,2,3,4,34,34,3,2,3,4,35,35,1006,0.547337685870817,0.15130027949368563
479885,1742751384,0,1.0,0.3809524,5.13472,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099957,0.0,32203.445,28018.588,3,3,3,16,42,42,3,3,3,16,42,43,962,0.8325356284825699,0.14776873257377277
479885,1751748236,0,1.0,1.0,6.95609,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.51145,0.0,27593.508,28433.223,3,5,3,22,22,51,3,5,3,23,25,55,944,0.2888071113007573,0.07823162187836907
479885,1406280643,0,1.0,0.34146342,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.917272,0.0,29973.533,28640.555,5,0,0,14,41,36,5,0,0,14,43,37,1475,0.5872809248472306,0.25575214354979525
479913,2057339092,0,1.0,0.25,14.625104,55.37951,4.614959,5.677465,13.203337,9.478779,2.3150222,8.5329685,0.22882785,7.4166646,0.0,0.05577854,0.0,3.0805783,0.0,37593.926,44861.008,7,1,2,13,52,32,7,1,2,17,56,37,1187,0.9994788933444875,0.06087225474639979
479913,1905163928,0,1.0,0.1875,0.0,94.75056,9.475056,11.883221,21.179575,0.21371168,0.34633255,12.241675,0.0,35.540485,0.0,0.6192422,0.0,3.5692952,0.0,29141.451,38693.797,8,3,3,6,32,43,8,3,3,8,33,43,935,0.9999826289112282,0.07267273905324734
479913,1884349690,0,1.0,0.2647059,11.064649,37.39933,4.6749167,6.2367353,13.027955,3.2250724,15.57236,0.557333,1.835843,1.9276528,0.0,0.472079,0.0,2.1706684,0.0,39143.09,36936.39,10,1,5,9,34,43,12,1,5,9,36,48,998,0.9926696597083814,0.17777154150645358
475008,842432875,0,1.0,0.20512821,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0095549,0.0,28607.41,41525.46,6,2,2,8,39,41,6,2,2,9,39,41,1180,0.8955001917328536,0.047006382552105874
475008,487175438,0,1.0,0.19512194,8.516163,70.8964,5.9080334,7.3214283,14.835785,3.5789332,0.2563666,9.299325,0.068535954,23.491158,0.0,2.5344486,0.0,0.80853534,0.0,33914.902,64896.133,5,6,5,8,41,31,5,6,5,10,48,36,1062,0.9999697359481049,0.045272118868027844
475008,488995005,0,1.0,0.55172414,9.268025,134.438,19.20543,25.141039,49.924767,2.3415854,11.897841,12.356005,6.776389,49.719345,2.020199,4.965297,-0.027608933,1.6124204,0.0,39633.45,89526.38,7,7,3,16,29,36,7,7,3,25,32,41,1023,0.9996450786819862,0.03354451739410114
483398,1008553571,0,1.0,0.3043478,0.0,29.060984,9.686995,10.509377,14.190317,0.0,7.8992925,0.8195457,4.342364,0.6560342,1.4588015,0.37085238,0.6779464,3.2958245,0.0,34612.062,20908.71,9,1,4,14,46,36,9,1,4,15,51,36,915,0.45707199283609334,0.04578395517540501
483398,1008751466,0,1.0,0.24390244,0.0,95.957794,5.644576,7.8486953,24.09924,1.5225213,7.1977286,6.009643,4.951638,14.629438,9.852444,4.010132,0.101069264,2.6454132,0.0,20393.791,35675.492,5,3,3,10,41,44,5,3,3,13,43,45,1202,0.9999995495075665,0.08410784321213982
483398,1077035172,0,1.0,0.09259259,16.851006,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2304732,0.0,28716.45,27229.38,4,7,0,5,54,37,4,7,0,8,57,39,1123,0.9565553664910871,0.07129622639439637
483398,1232110631,0,1.0,0.26530612,0.0,57.911037,6.4345603,8.0976095,15.671426,1.5055649,4.1997128,10.335586,-0.089905076,11.200446,0.0,1.344627,0.0,3.3612714,0.0,39120.453,41298.66,6,4,3,13,49,40,6,4,3,16,51,43,955,0.9988507014839957,0.05988147557546697
483398,1323943844,0,1.0,0.3,0.0,39.834145,6.6390243,7.754598,12.967986,3.6046026,2.2219164,2.7171338,1.256111,3.5834806,2.0228097,0.59403884,0.027941762,3.0691407,1.3921058,34471.934,32077.97,9,6,1,15,50,52,9,6,1,20,54,54,1312,0.8220891745253446,0.06432377363090103
