runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
474679,824709828,0,1.0,0.0,0.0,0.19591884,0.30531743,1614.0,0.08449055,0.0,0.0,-1.0,3.0,37420.066,63620.7,15,24,17,14,20,14,18,25,19,15,22,14,977,0.565582162956201,0.21851118733968633
474679,1754021186,0,1.0,0.0,0.0,0.20513852,0.27540174,1539.0,0.52229035,-1.8987228,3.2838972,0.9139536,4.0,24257.45,56068.656,9,12,19,3,14,10,9,12,19,3,14,10,832,0.008883155045083635,0.3322620324873783
476718,1724241886,0,1.0,0.0,0.0,0.2669746,0.3355951,1573.0,0.40444118,3.1578865,4.388224,9.317193,3.0,36688.06,28992.857,8,16,20,12,22,21,11,20,21,14,23,23,829,0.005198078323768396,0.11188496265438308
476718,2226227272,0,1.0,0.0,0.0,0.22380595,0.31001574,2220.0,0.36400878,2.9753823,3.6185143,7.21363,3.0,23653.006,30914.762,9,20,25,12,9,17,10,22,26,12,9,18,1372,0.0028192243806421935,0.3035831037828025
476718,474631411,0,1.0,0.0,0.0,0.19492961,0.21316928,1908.0,2.9791224,0.0,0.0,-1.0,3.0,0.0,22170.492,9,24,16,17,11,22,9,27,16,21,11,22,1036,0.49928542735156745,0.11266001183336938
479885,1658997827,0,1.0,0.0,0.0,0.26011267,0.3436259,2005.0,0.31270522,-1.7394993,5.1709476,8.876256,4.0,35018.617,78834.91,10,28,17,2,20,25,10,31,20,2,20,25,1124,0.001907974098351417,0.3895339953244725
481865,3553166675,0,1.0,0.0,0.0,0.23389037,0.3069905,2193.0,0.71459895,0.55365777,1.5731016,3.051518,3.0,36508.82,22534.064,6,23,18,8,10,7,6,25,19,8,10,7,1330,0.0003303466705426583,0.3809099544372494
481865,3154074076,0,1.0,0.0,0.0,0.3268505,0.38205752,2142.0,0.5642003,3.2500823,4.3780174,7.429235,4.0,36551.82,33732.8,7,11,17,9,12,14,7,12,18,9,13,15,870,0.31982272389404987,0.477915381677834
473915,432479032,0,1.0,0.0,0.0,0.22569339,0.30987,1806.0,0.041821957,0.8221223,4.4076514,11.592371,3.0,30658.03,41791.973,5,14,21,11,16,14,6,14,22,11,17,15,1055,0.013602043908397587,0.14707127167257583
479327,497816678,0,1.0,0.0,0.0,0.18419132,0.1948851,1495.0,0.21901155,0.0,0.0,-1.0,3.0,31248.467,29032.268,13,22,16,6,11,12,14,22,17,6,12,13,863,0.5819727781636244,0.1821251995140989
