runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
473382,1212379940,0,1.0,0.0,0.0,0.30436918,0.36709037,2082.0,0.17339969,-0.5287297,4.9666247,6.1864066,6.0,0.0,28983.896,4,1,2,10,33,35,4,1,2,13,34,39,1042,0.999983060750816,0.16820500127636573
473382,2212897244,0,1.0,0.0,0.0,0.33522916,0.42563498,2447.0,0.1724155,0.0,0.0,-1.0,4.0,26457.068,32841.58,4,0,0,10,38,35,4,0,0,11,39,36,1268,0.7994268875452627,0.14290083823326494
473382,824544570,0,1.0,0.97961354,0.97961354,0.34408215,0.4470171,2272.0,1.6276224,0.0,0.0,-1.0,4.0,23355.967,27721.875,7,3,0,12,44,41,8,4,0,14,45,46,1056,0.8236021761888765,0.2128393624874082
473382,1556441672,0,1.0,0.0,0.0,0.3623174,0.44254833,2601.0,0.42065585,0.0,0.0,-1.0,4.0,27114.254,23728.834,5,2,0,10,52,38,5,2,0,11,53,39,1148,0.924902022032269,0.21417067750597785
473382,1941699015,0,1.0,0.0,0.0,0.3612393,0.4658612,1760.0,0.056230545,2.137038,3.2220433,6.6195884,4.0,12812.458,25114.387,3,0,0,14,34,34,3,0,0,14,35,35,987,0.9485029623007056,0.04059037765014062
474679,1753887572,0,1.0,0.0,0.0,0.38917124,0.4649665,3012.0,0.35587406,0.6211777,3.29268,7.1228743,4.0,36115.88,53418.598,5,0,1,11,47,32,5,0,1,12,47,36,1539,0.9998188709528435,0.1689697442317294
479913,2673948565,0,1.0,0.0,0.0,0.3755896,0.46152502,1994.0,1.2053032,-0.004324486,3.3853853,9.254879,3.0,36771.348,24495.312,1,0,4,15,34,35,1,0,4,20,36,38,1113,0.9999930387107205,0.04564391753504449
479913,3469670940,0,1.0,0.0,0.0,0.38025668,0.44630972,2243.0,0.08586383,-0.06189114,0.8723571,0.80826765,5.0,33830.453,47329.273,3,2,3,4,34,34,3,2,3,4,35,35,1006,0.547337685870817,0.15130027949368563
479885,1742751384,0,1.0,0.0,0.0,0.38681906,0.46532547,1916.0,1.9646038,0.0,0.0,-1.0,5.0,32203.445,28018.588,3,3,3,16,42,42,3,3,3,16,42,43,962,0.8325356284825699,0.14776873257377277
479885,1751748236,0,1.0,0.0,0.0,0.33928397,0.45986378,1966.0,0.2651577,0.0,0.0,-1.0,4.0,27593.508,28433.223,3,5,3,22,22,51,3,5,3,23,25,55,944,0.2888071113007573,0.07823162187836907
479885,1406280643,0,1.0,0.0,0.0,0.26848072,0.34126398,3019.0,0.1561687,0.0,0.0,-1.0,3.0,29973.533,28640.555,5,0,0,14,41,36,5,0,0,14,43,37,1475,0.5872809248472306,0.25575214354979525
479913,2057339092,0,1.0,0.0,0.0,0.3165275,0.4033905,2224.0,0.20478392,-2.0710824,5.6072583,2.5256042,3.0,37593.926,44861.008,7,1,2,13,52,32,7,1,2,17,56,37,1187,0.9994788933444875,0.06087225474639979
479913,1905163928,0,1.0,0.0,0.0,0.3771076,0.4375367,2143.0,0.25685555,0.11680802,4.2310524,6.687,4.0,29141.451,38693.797,8,3,3,6,32,43,8,3,3,8,33,43,935,0.9999826289112282,0.07267273905324734
479913,1884349690,0,1.0,0.0,0.0,0.26398,0.33375147,2097.0,0.9612015,-0.76057684,2.012636,0.527007,5.0,39143.09,36936.39,10,1,5,9,34,43,12,1,5,9,36,48,998,0.9926696597083814,0.17777154150645358
475008,842432875,0,1.0,0.0,0.0,0.28115252,0.34227505,2004.0,0.14665079,0.0,0.0,-1.0,3.0,28607.41,41525.46,6,2,2,8,39,41,6,2,2,9,39,41,1180,0.8955001917328536,0.047006382552105874
475008,487175438,0,1.0,0.0,0.0,0.39144912,0.4757342,1923.0,0.6529098,-0.5465814,2.1010969,2.2720783,3.0,33914.902,64896.133,5,6,5,8,41,31,5,6,5,10,48,36,1062,0.9999697359481049,0.045272118868027844
475008,488995005,0,1.0,0.0,0.0,0.33964533,0.4534848,1995.0,0.004863262,0.47723284,0.8654019,1.9839236,3.0,39633.45,89526.38,7,7,3,16,29,36,7,7,3,25,32,41,1023,0.9996450786819862,0.03354451739410114
483398,1008553571,0,1.0,0.0,0.0,0.33126515,0.4186005,1878.0,1.9217746,-1.2566053,1.8601352,0.13256496,3.0,34612.062,20908.71,9,1,4,14,46,36,9,1,4,15,51,36,915,0.45707199283609334,0.04578395517540501
483398,1008751466,0,1.0,0.0,0.0,0.314289,0.3883298,2405.0,0.300477,-0.39316398,3.3744926,6.406036,4.0,20393.791,35675.492,5,3,3,10,41,44,5,3,3,13,43,45,1202,0.9999995495075665,0.08410784321213982
483398,1077035172,0,1.0,0.0,0.0,0.4684143,0.5133465,2244.0,0.24114552,0.0,0.0,-1.0,3.0,28716.45,27229.38,4,7,0,5,54,37,4,7,0,8,57,39,1123,0.9565553664910871,0.07129622639439637
483398,1232110631,0,1.0,0.0,0.0,0.38167936,0.43156427,1801.0,1.2827291,0.68063337,2.704256,6.5657773,4.0,39120.453,41298.66,6,4,3,13,49,40,6,4,3,16,51,43,955,0.9988507014839957,0.05988147557546697
483398,1323943844,0,1.0,0.0,0.0,0.42639235,0.5115966,2640.0,0.22101784,0.9244737,1.6817509,3.702649,3.0,34471.934,32077.97,9,6,1,15,50,52,9,6,1,20,54,54,1312,0.8220891745253446,0.06432377363090103
483398,2210511735,0,1.0,0.0,0.0,0.34680083,0.4260617,2035.0,1.3568187,1.5649359,1.885844,3.1712549,4.0,6043.2236,21578.803,5,5,5,12,36,32,5,5,5,13,41,32,1004,0.9914477161868119,0.06585905081413967
483398,898655301,0,1.0,0.794401,0.794401,0.44149834,0.5135825,1697.0,0.10215141,0.0,0.0,-1.0,3.0,38471.508,54193.06,7,4,1,12,43,36,7,4,1,12,44,38,925,0.9104429432214489,0.05437399797487641
483398,1784818148,0,1.0,0.0,0.0,0.37420312,0.48029214,1831.0,1.5333761,-0.16459104,2.4945266,2.7007165,3.0,37852.176,40302.97,6,0,3,16,48,39,6,0,3,16,50,40,930,0.9999483309972712,0.03812690566127186
483398,1787103644,0,1.0,0.0,0.0,0.3545386,0.44797975,2062.0,0.2730056,0.10326801,1.9481033,1.5878811,4.0,11547.721,21138.383,11,2,2,16,45,43,11,2,2,17,46,44,992,0.999804693879776,0.07121507179234454
483398,1819222725,0,1.0,0.0,0.0,0.33664718,0.41271934,1928.0,0.53586704,0.0,0.0,-1.0,4.0,19362.139,29999.738,4,0,1,8,44,36,4,0,1,9,46,38,1067,0.9110951516710888,0.08739593671489809
483398,1792487696,0,1.0,0.0,0.0,0.32274592,0.41130638,1959.0,0.8906491,0.0,0.0,-1.0,3.0,39756.68,35554.22,4,1,4,15,32,46,4,1,4,15,34,48,1009,0.7608986045036951,0.050970311510761035
483398,2086824959,0,1.0,0.0,0.0,0.32799986,0.41499314,2702.0,2.910959,1.768816,3.19055,7.39484,4.0,26100.799,39309.832,5,2,2,16,56,41,5,3,3,19,58,49,1367,0.9993752187147723,0.09031341165935391
483398,899537193,0,1.0,0.0,0.0,0.31807703,0.40180016,2512.0,0.053119134,-2.939308,4.1568093,0.0,3.0,31747.354,40878.42,4,3,1,14,51,34,4,3,1,17,54,39,1379,0.8989358587145944,0.11051422706946912
483398,1125377947,0,1.0,0.0,0.0,0.4152534,0.46514985,2748.0,0.10052496,0.0,0.0,-1.0,3.0,0.0,20704.156,1,6,5,12,39,31,1,6,5,13,44,33,1262,0.0,0.15671472037653789
