runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s
474679,824709828,0,1.0,0.0,0.0,0.19591884315013885,0.3053174316883087,1614.0,0.08449055254459381,0.0,0.0,-1.0,3.0,37420.06640625,63620.69921875,15,24,17,14,20,14,18,25,19,15,22,14,977
479327,497816678,0,1.0,0.0,0.0,0.18419131636619568,0.19488510489463806,1495.0,0.21901154518127441,0.0,0.0,-1.0,3.0,31248.466796875,29032.267578125,13,22,16,6,11,12,14,22,17,6,12,13,863
474600,307143953,0,1.0,0.0,0.0,0.21113599836826324,0.3050217032432556,2288.0,0.2238975167274475,0.0,0.0,-1.0,5.0,36499.6640625,39535.46875,13,24,17,11,9,14,15,26,19,11,9,14,1256
474600,415675618,0,1.0,0.0,0.0,0.3093487024307251,0.3427833318710327,2067.0,1.4036370515823364,1.4503909349441528,3.673858404159546,8.844742774963379,4.0,37796.48046875,35897.375,6,7,17,8,13,13,12,8,21,9,14,14,1182
473915,432479032,0,1.0,0.0,0.0,0.22569338977336884,0.30987000465393066,1806.0,0.041821956634521484,0.8221222758293152,4.407651424407959,11.592370986938477,3.0,30658.029296875,41791.97265625,5,14,21,11,16,14,6,14,22,11,17,15,1055
476718,1724241886,0,1.0,0.0,0.0,0.2669745981693268,0.33559510111808777,1573.0,0.4044411778450012,3.157886505126953,4.388224124908447,9.317193031311035,3.0,36688.05859375,28992.857421875,8,16,20,12,22,21,11,20,21,14,23,23,829
476718,2226227272,0,1.0,0.0,0.0,0.22380594909191132,0.3100157380104065,2220.0,0.3640087842941284,2.9753823280334473,3.6185142993927,7.213630199432373,3.0,23653.005859375,30914.76171875,9,20,25,12,9,17,10,22,26,12,9,18,1372
476718,474631411,0,1.0,0.0,0.0,0.19492961466312408,0.21316927671432495,1908.0,2.9791224002838135,0.0,0.0,-1.0,3.0,0.0,22170.4921875,9,24,16,17,11,22,9,27,16,21,11,22,1036
480032,1712042247,0,1.0,0.0,0.0,0.2838391363620758,0.33897823095321655,2462.0,0.4803035855293274,2.554685354232788,2.7908642292022705,4.120255470275879,3.0,38045.5234375,40020.5,11,21,18,12,25,17,13,21,18,14,26,18,1143
474600,674697137,0,1.0,0.0,0.0,0.21736504137516022,0.27149733901023865,3951.0,0.2303447723388672,-0.11433467268943787,5.003590106964111,9.994784355163574,3.0,32221.3984375,53266.78515625,6,9,19,14,16,21,10,9,21,19,17,23,2449
