runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s
473382,1212379940,0,1.0,0.0,0.0,0.304369181394577,0.3670903742313385,2082.0,0.1733996868133545,-0.5287296772003174,4.966624736785889,6.18640661239624,6.0,0.0,28983.896484375,4,1,2,10,33,35,4,1,2,13,34,39,1042
473382,2212897244,0,1.0,0.0,0.0,0.33522915840148926,0.4256349802017212,2447.0,0.17241549491882324,0.0,0.0,-1.0,4.0,26457.068359375,32841.578125,4,0,0,10,38,35,4,0,0,11,39,36,1268
473382,824544570,0,1.0,0.9796135425567627,0.9796135425567627,0.34408214688301086,0.447017103433609,2272.0,1.627622365951538,0.0,0.0,-1.0,4.0,23355.966796875,27721.875,7,3,0,12,44,41,8,4,0,14,45,46,1056
473382,1556441672,0,1.0,0.0,0.0,0.36231741309165955,0.44254833459854126,2601.0,0.42065584659576416,0.0,0.0,-1.0,4.0,27114.25390625,23728.833984375,5,2,0,10,52,38,5,2,0,11,53,39,1148
473382,1941699015,0,1.0,0.0,0.0,0.36123931407928467,0.4658612012863159,1760.0,0.05623054504394531,2.137037992477417,3.22204327583313,6.619588375091553,4.0,12812.4580078125,25114.38671875,3,0,0,14,34,34,3,0,0,14,35,35,987
475008,842432875,0,1.0,0.0,0.0,0.28115251660346985,0.34227505326271057,2004.0,0.1466507911682129,0.0,0.0,-1.0,3.0,28607.41015625,41525.4609375,6,2,2,8,39,41,6,2,2,9,39,41,1180
475008,487175438,0,1.0,0.0,0.0,0.39144912362098694,0.4757342040538788,1923.0,0.6529098153114319,-0.5465813875198364,2.1010968685150146,2.272078275680542,3.0,33914.90234375,64896.1328125,5,6,5,8,41,31,5,6,5,10,48,36,1062
475008,488995005,0,1.0,0.0,0.0,0.3396453261375427,0.45348480343818665,1995.0,0.004863262176513672,0.47723284363746643,0.8654019236564636,1.9839235544204712,3.0,39633.44921875,89526.3828125,7,7,3,16,29,36,7,7,3,25,32,41,1023
474679,1753887572,0,1.0,0.0,0.0,0.3891712427139282,0.4649665057659149,3012.0,0.35587406158447266,0.6211776733398438,3.292680025100708,7.1228742599487305,4.0,36115.87890625,53418.59765625,5,0,1,11,47,32,5,0,1,12,47,36,1539
484222,1031422803,0,1.0,0.0,0.0,0.3399679660797119,0.45269182324409485,2027.0,0.2348305583000183,0.40785208344459534,4.1645097732543945,7.67110013961792,5.0,7222.80908203125,21116.1796875,7,4,4,10,38,33,7,4,4,10,38,38,1072
484222,592644001,0,1.0,0.0,0.0,0.38292771577835083,0.44876617193222046,1950.0,2.3182053565979004,-1.2861841917037964,3.6394622325897217,0.8046953678131104,3.0,15804.3564453125,35941.91796875,5,2,4,25,42,45,5,2,4,31,47,47,996
484222,493946518,0,1.0,0.0,0.0,0.42472532391548157,0.5488508939743042,1780.0,0.3607945442199707,1.6673146486282349,5.816598892211914,11.023711204528809,4.0,29630.029296875,35312.83203125,5,4,7,9,39,47,5,4,7,10,42,51,925
474926,1140201883,0,1.0,0.0,0.0,0.2988501191139221,0.3914591372013092,3086.0,1.7938679456710815,-0.6965357065200806,5.335341930389404,7.794589996337891,8.0,0.0,22225.923828125,5,3,1,8,55,44,5,3,1,9,62,50,1487
483398,1008553571,0,1.0,0.0,0.0,0.3312651515007019,0.41860049962997437,1878.0,1.9217746257781982,-1.2566052675247192,1.8601351976394653,0.1325649619102478,3.0,34612.0625,20908.7109375,9,1,4,14,46,36,9,1,4,15,51,36,915
483398,1008751466,0,1.0,0.0,0.0,0.31428900361061096,0.38832980394363403,2405.0,0.300476998090744,-0.3931639790534973,3.374492645263672,6.406035900115967,4.0,20393.791015625,35675.4921875,5,3,3,10,41,44,5,3,3,13,43,45,1202
483398,1077035172,0,1.0,0.0,0.0,0.468414306640625,0.5133464932441711,2244.0,0.241145521402359,0.0,0.0,-1.0,3.0,28716.44921875,27229.380859375,4,7,0,5,54,37,4,7,0,8,57,39,1123
483398,1232110631,0,1.0,0.0,0.0,0.38167935609817505,0.4315642714500427,1801.0,1.282729148864746,0.6806333661079407,2.704256057739258,6.56577730178833,4.0,39120.453125,41298.66015625,6,4,3,13,49,40,6,4,3,16,51,43,955
483398,1323943844,0,1.0,0.0,0.0,0.4263923466205597,0.5115966200828552,2640.0,0.22101783752441406,0.9244737029075623,1.6817508935928345,3.7026491165161133,3.0,34471.93359375,32077.970703125,9,6,1,15,50,52,9,6,1,20,54,54,1312
483398,2210511735,0,1.0,0.0,0.0,0.346800833940506,0.4260616898536682,2035.0,1.356818675994873,1.5649359226226807,1.8858439922332764,3.171254873275757,4.0,6043.2236328125,21578.802734375,5,5,5,12,36,32,5,5,5,13,41,32,1004
483398,898655301,0,1.0,0.7944009900093079,0.7944009900093079,0.441498339176178,0.5135825276374817,1697.0,0.10215140879154205,0.0,0.0,-1.0,3.0,38471.5078125,54193.05859375,7,4,1,12,43,36,7,4,1,12,44,38,925
483398,1784818148,0,1.0,0.0,0.0,0.3742031157016754,0.4802921414375305,1831.0,1.5333760976791382,-0.16459104418754578,2.4945266246795654,2.700716495513916,3.0,37852.17578125,40302.96875,6,0,3,16,48,39,6,0,3,16,50,40,930
483398,1787103644,0,1.0,0.0,0.0,0.35453858971595764,0.44797974824905396,2062.0,0.2730056047439575,0.10326801240444183,1.9481033086776733,1.587881088256836,4.0,11547.720703125,21138.3828125,11,2,2,16,45,43,11,2,2,17,46,44,992
483398,1819222725,0,1.0,0.0,0.0,0.3366471827030182,0.41271933913230896,1928.0,0.5358670353889465,0.0,0.0,-1.0,4.0,19362.138671875,29999.73828125,4,0,1,8,44,36,4,0,1,9,46,38,1067
483398,1792487696,0,1.0,0.0,0.0,0.3227459192276001,0.41130638122558594,1959.0,0.8906490802764893,0.0,0.0,-1.0,3.0,39756.6796875,35554.21875,4,1,4,15,32,46,4,1,4,15,34,48,1009
483398,2086824959,0,1.0,0.0,0.0,0.32799986004829407,0.41499313712120056,2702.0,2.910959005355835,1.7688159942626953,3.1905500888824463,7.394839763641357,4.0,26100.798828125,39309.83203125,5,2,2,16,56,41,5,3,3,19,58,49,1367
483398,899537193,0,1.0,0.0,0.0,0.318077027797699,0.40180015563964844,2512.0,0.05311913415789604,-2.939307928085327,4.156809329986572,0.0,3.0,31747.353515625,40878.421875,4,3,1,14,51,34,4,3,1,17,54,39,1379
483398,1125377947,0,1.0,0.0,0.0,0.4152534008026123,0.465149849653244,2748.0,0.10052496194839478,0.0,0.0,-1.0,3.0,0.0,20704.15625,1,6,5,12,39,31,1,6,5,13,44,33,1262
483398,1663088445,0,1.0,0.0,0.0,0.33224737644195557,0.431552529335022,1636.0,0.4061424732208252,-0.4291386306285858,2.8956868648529053,3.543107509613037,3.0,39919.625,49299.58984375,4,4,2,14,35,38,4,4,2,17,45,43,927
