runNumber,eventNumber,mcChannelNumber,eventWeight,nMSeg_ratio_EIEM_raw,track_scalar_sum_pt_endcap_raw,MS1Vtx_clusE_raw,MS1Vtx_avg_clusE_raw,MS1Vtx_rms_clusE_raw,MS1Vtx_maxclusE_raw,MS1Vtx_l1ecal_raw,MS1Vtx_l1hcal_raw,MS1Vtx_l2ecal_raw,MS1Vtx_l2hcal_raw,MS1Vtx_l3ecal_raw,MS1Vtx_l3hcal_raw,MS1Vtx_l4ecal_raw,MS1Vtx_l4hcal_raw,MS1Vtx_mindR_jetcut_raw,MS1Vtx_sumTrackPt0p2Cone_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,135085,537837,1.7799086e-10,0.2,38.317177,6.569759,6.569759,6.569759,6.569759,0.0,0.33608934,1.1350547,0.0,0.6599564,0.0,0.67538244,0.0,1.633926,0.0,69545.2,81067.445,2,1,0,8,40,33,2,1,0,14,43,33,1389,0.9190934780760834,0.7875664443718838
410000,116768,537837,3.8944477e-12,0.25,5.686696,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0315901,0.0,40937.92,54697.4,5,0,1,12,48,42,5,0,1,16,49,43,909,0.9019654770437318,0.61309395509066
410000,112362,537837,4.6313542e-10,0.625,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.088959,0.0,52827.695,57502.37,0,1,0,5,8,33,0,1,0,5,8,34,1042,0.6406140681661648,0.8373626524088098
410000,112447,537837,4.6853765e-10,0.17391305,0.0,3.1770732,3.1770732,3.1770732,3.1770732,0.0,0.0,0.63599795,0.0,0.5400055,0.0,-0.11999919,0.0,2.0923014,0.0,71562.56,74281.82,2,1,1,8,46,34,2,1,1,9,50,39,1302,0.9158641352937575,0.24826307794956604
410000,7329,537837,1.2353848e-10,0.19117647,0.0,30.348583,5.0580974,6.2698946,10.226592,1.5219492,0.0,4.607998,0.0,3.326971,0.0,0.12600793,9.229195,3.331803,0.0,62542.22,65297.05,0,0,0,13,68,52,0,0,0,16,71,58,1215,0.905649317547637,0.6369649908346873
410000,83713,537837,9.850796e-11,0.71428573,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0982397,0.0,182460.88,202209.11,0,3,1,15,21,35,0,3,1,17,22,39,2787,0.564400352524673,0.9980312228272854
410000,27091,537837,0.0,0.1875,0.0,40.885628,6.814272,7.381507,10.807206,0.0,5.538536,5.5381327,-0.0127477795,5.6653523,0.0,1.102631,0.0,2.7114017,0.0,71746.92,64580.246,2,2,0,3,16,35,2,2,0,4,18,36,1307,0.9921070608073518,0.6504943795427371
410000,73145,537837,7.5110175e-11,0.7,84.49696,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5926528,0.0,265982.84,264442.2,3,1,1,7,10,43,3,1,1,7,10,43,1371,0.6617059594424315,0.7805391661283302
410000,73234,537837,1.15277794e-10,0.07692308,0.0,5.1179132,5.1179132,5.1179132,5.1179132,0.0,0.361313,0.0,0.0,0.35312155,0.0,1.1656007,0.0,2.3095865,0.0,61854.656,74523.17,3,6,2,3,39,39,3,6,2,3,39,39,1288,0.9227835398573291,0.6387741785055594
410000,32747,537837,1.1680344e-10,0.53333336,0.0,0.014107062,0.014107062,0.014107062,0.014107062,-0.006225151,0.0,0.116213165,0.0,-0.09588095,0.0,0.0,0.0,3.0550942,0.0,62837.47,51177.363,2,4,2,8,15,39,2,4,2,8,15,40,1763,0.6802022853962697,0.5080455252731051
