runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_barrel_avg_dR_raw,MSTracklet_barrel_rms_dR_raw,MSeg_barrel_avg_dR_raw,MSeg_barrel_rms_dR_raw,MS1Vtx_barrel_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nRPC_s,scoreNN1b,scoreNN2b
410000,4969,537839,1.418472e-10,0.0,0.0,0.23290597,0.25587812,4121.0,0.12567496,1.2409924,2.1897786,3.7921762,3.0,144757.5,147955.53,4,8,25,1,0,3,6,12,28,1,0,5,3008,0.33795862853376646,0.8686872862159108
410000,113700,537839,2.3201599e-11,0.0,0.0,0.27223688,0.29384542,5372.0,0.040857315,0.51050085,2.626796,4.376,5.0,293927.28,305384.47,4,3,22,13,3,4,4,3,22,13,3,4,3658,0.008900386128300353,0.9472682353002457
410000,80163,537839,1.7726579e-10,0.0,0.0,0.2830652,0.339354,3099.0,0.39230314,0.0,0.0,-1.0,7.0,83278.82,86563.21,9,14,23,9,5,2,11,16,27,15,5,2,2211,0.5392672562811851,0.9364386314446379
410000,101088,537839,0.0,0.0,0.0,0.3236393,0.38282079,6172.0,0.20090336,-5.088408,5.088408,-5.088408,4.0,110952.445,98348.76,8,17,17,9,3,9,11,18,19,9,3,9,4345,0.6278861639309634,0.9220985176337796
410000,98342,537839,5.3914193e-14,0.7898755,0.7898755,0.43909782,0.47865131,8098.0,0.128757,0.0,0.0,-1.0,6.0,174804.92,161960.94,19,32,35,9,7,12,21,33,36,12,7,14,5676,0.5504007266343677,0.9545532231734988
410000,100602,537839,1.3697443e-10,0.0,0.0,0.23861286,0.30075762,4067.0,0.18917942,1.5514302,3.7810326,6.704,5.0,69514.86,129246.95,13,21,24,7,2,1,13,22,25,7,2,1,2974,0.6190947734853773,0.9073373115806762
410000,110087,537839,1.13612605e-10,0.0,0.0,0.28848353,0.3330129,3156.0,0.24686098,0.4398909,1.6845292,2.374,4.0,250261.92,261243.38,6,25,20,6,1,3,8,27,21,6,1,4,2283,0.09044739936434976,0.854420297185692
410000,32220,537839,1.254979e-10,0.0,0.0,0.32885748,0.39574885,5932.0,0.0010490417,0.0,0.0,-1.0,6.0,133515.5,136799.72,10,30,20,9,0,6,11,33,22,9,0,6,4326,0.7306080345973208,0.9684519396920441
410000,8736,537839,0.0,0.0,0.0,0.1576763,0.21189672,3341.0,0.0050104856,-2.0830119,6.1304855,11.441,5.0,206769.6,237106.02,1,21,25,10,2,2,1,24,28,11,2,2,2582,0.7214914963380736,0.8737718419743755
410000,148975,537839,2.1503992e-10,0.0,0.0,0.36228022,0.43214405,2892.0,0.004259944,0.0,0.0,-1.0,6.0,68037.54,99838.83,11,14,16,10,3,3,13,20,21,11,5,6,2004,0.5824112287436692,0.9225102580849976
410000,78619,537839,1.5819984e-10,0.0,0.0,0.33349624,0.3800964,4596.0,0.40154096,0.0,0.0,-1.0,3.0,94466.52,82473.51,1,6,22,8,3,3,1,7,22,10,4,4,3447,0.5853046542814544,0.8567006274612066
410000,133034,537839,1.4410086e-10,0.0,0.0,0.33476734,0.42409676,3168.0,0.11966777,0.7870716,4.1543684,9.174,3.0,152188.11,148015.67,8,24,19,5,3,2,19,29,27,5,3,2,2109,0.051129406063852634,0.7145649619889443
410000,9697,537839,4.292545e-11,0.8894391,0.8894391,0.35662916,0.42559636,2486.0,0.08083582,0.0,0.0,-1.0,3.0,72952.664,73017.09,2,21,24,15,4,4,2,22,25,15,4,4,1990,0.5791153992809376,0.7100686646141292
410000,139792,537839,0.0,0.0,0.0,0.15194353,0.19972342,2253.0,0.0230484,-0.25013027,2.7028575,8.535386,5.0,435557.88,417795.56,8,12,17,11,1,5,10,14,17,11,1,5,1535,0.49229030619530445,0.6814792754606569
410000,26820,537839,1.4353635e-10,0.0,0.0,0.27220207,0.31074375,5792.0,0.19445336,0.0,0.0,-1.0,4.0,193183.0,199766.4,9,48,41,7,2,2,9,51,44,7,2,2,3971,0.561289404622843,0.9170392698274026
410000,40889,537839,1.5453434e-10,0.0,0.0,0.2802303,0.31894648,4521.0,0.09233272,4.2525506,5.5438757,10.293938,4.0,132923.47,138495.92,9,9,27,8,2,4,9,10,28,8,2,4,3139,0.027997080925289408,0.899572180223651
410000,87206,537839,1.3485528e-10,0.0,0.0,0.53218174,0.5712663,3982.0,0.457796,0.0,0.0,-1.0,3.0,100387.66,109337.94,9,15,19,14,3,3,10,17,19,18,5,6,2288,0.6079998797791406,0.8683598820394337
