runNumber,eventNumber,mcChannelNumber,eventWeight,MSTracklet_endcap_avg_dR_raw,MSTracklet_endcap_rms_dR_raw,MSeg_endcap_avg_dR_raw,MSeg_endcap_rms_dR_raw,MS1Vtx_endcap_hits_ntot_raw,MSVtx_MET_dphi_raw,MS1Vtx_avg_clustime_raw,MS1Vtx_rms_clustime_raw,MS1Vtx_maxclustime_raw,MS1Vtx_nTracklet_raw,htmiss_NOSYS,met_met_NOSYS,msegUnAssoc_nBIL,msegUnAssoc_nBML,msegUnAssoc_nBOL,msegUnAssoc_nEIL,msegUnAssoc_nEML,msegUnAssoc_nEOL,muSeg_nBIL,muSeg_nBML,muSeg_nBOL,muSeg_nEIL,muSeg_nEML,muSeg_nEOL,msvtx_nTGC_s,scoreNN1e,scoreNN2e
410000,3872,537839,1.4912926e-10,0.0,0.0,0.40046784,0.46352175,3170.0,0.2508477,-1.0026433,3.4295218,2.5344374,7.0,131345.88,132560.77,0,0,0,1,9,40,0,0,0,1,13,43,1262,0.7893763401615006,0.7688547335880196
410000,136874,537839,1.4133954e-10,0.0,0.0,0.48739326,0.5506233,4053.0,0.08425045,0.0,0.0,-1.0,3.0,101318.945,98774.63,0,1,1,6,28,44,0,1,1,7,31,46,2183,0.9031786267292701,0.7863081949001511
410000,66825,537839,1.0817729e-10,0.92937636,0.92944574,0.46985283,0.49772832,5225.0,0.022710443,0.0,0.0,-1.0,7.0,220596.34,226345.8,3,3,1,5,9,39,3,3,1,7,12,41,2381,0.702491856110188,0.9965822121582678
410000,4663,537839,2.389063e-10,0.0,0.0,0.38623396,0.45492256,2885.0,0.038133144,0.0,0.0,-1.0,9.0,54736.7,86405.91,6,1,1,10,17,32,6,1,1,11,20,34,1560,0.6716599126943126,0.8157201911986867
410000,40191,537839,1.9661198e-10,0.0,0.0,0.47020814,0.51281554,3608.0,0.28274822,5.414302,5.414302,5.414302,6.0,159041.8,193453.86,1,2,0,6,22,34,1,2,0,6,25,46,2102,0.8649813812856599,0.7648075046998168
410000,58279,537839,0.0,0.7875163,0.79257417,0.5408481,0.5804592,2834.0,0.23923832,0.0,0.0,-1.0,6.0,40646.117,38166.645,5,1,2,16,25,34,5,1,2,18,32,43,1409,0.5103314748705621,0.7578695770976894
410000,128396,537839,2.2798019e-10,0.0,0.0,0.3259693,0.3799778,2424.0,0.261598,0.0,0.0,-1.0,9.0,104233.14,109179.83,1,1,0,9,31,35,1,1,0,11,34,38,1176,0.9485485352620334,0.7005487450486343
410000,90404,537839,1.2164847e-10,1.0244898,1.0244898,0.6023653,0.6299532,3630.0,0.021594405,0.57,0.57,0.57,6.0,159062.02,161685.5,2,0,2,6,17,31,2,0,2,8,19,32,1843,0.573795127483412,0.9328379321506124
410000,54040,537839,1.4095408e-10,0.0,0.0,0.52620494,0.59767157,3548.0,0.2110703,-0.51011586,1.8354561,3.029,7.0,102047.875,96619.46,1,3,1,3,20,31,1,3,1,5,21,33,1717,0.9998861278937398,0.8859413369752729
410000,61093,537839,1.364313e-10,0.91857994,0.91858,0.5135938,0.56683755,4540.0,0.09184408,0.0,0.0,-1.0,8.0,243743.45,237090.2,1,4,4,10,42,33,1,4,4,18,47,38,2215,0.9072920426492082,0.9935696044636347
410000,136311,537839,1.3600773e-10,0.82401484,0.8798794,0.47935572,0.5597071,2707.0,0.0398435,0.0,0.0,-1.0,10.0,106973.57,105021.89,6,2,0,4,24,42,6,2,0,5,26,46,1314,0.5948096636654874,0.9082142066911113
410000,43209,537839,4.843933e-12,0.90429777,0.9168476,0.4313079,0.48630312,3656.0,0.28944194,3.0347624,6.832165,11.457,9.0,155620.69,153772.27,2,1,3,11,29,39,2,1,3,13,32,44,1794,0.7400609009796891,0.972311812796058
