region,scoreNN1b,scoreNN2b,nMDT,nRPC,nTGC,nBOL,clusE,rms_clustime,mindR,isolation,MET_dphi
barrel,0.3613,0.2915,36,16,4,8,3.58,1.615,0.22,0.352,-2.286
barrel,0.5738,0.8133,30,14,10,6,4.168,1.43,0.317,0.308,2.687
barrel,0.5519,0.3154,37,10,12,8,7.925,0.898,0.324,0.259,0.774
barrel,0.3857,0.348,25,10,9,13,1.648,1.907,0.237,0.211,0.352
barrel,0.4076,0.3161,16,10,9,6,3.001,1.746,0.423,0.218,-2.288
barrel,0.3474,0.4947,32,15,9,6,6.238,1.27,0.26,0.222,-2.129
barrel,0.6708,0.2434,29,13,8,4,7.514,2.153,0.333,0.251,-0.269
barrel,0.2126,0.2201,19,9,11,5,6.288,0.893,0.203,0.171,-0.848
barrel,0.3736,0.4668,21,11,7,8,17.608,1.184,0.197,0.169,1.997
barrel,0.21,0.4447,22,18,7,4,15.669,2.666,0.32,0.209,2.81
barrel,0.6046,0.3446,24,12,18,3,2.405,1.773,0.243,0.221,2.912
barrel,0.1507,0.5891,25,17,8,4,8.969,1.219,0.386,0.286,-0.718
barrel,0.6832,0.2959,31,15,6,7,4.868,1.666,0.259,0.121,-0.342
barrel,0.1447,0.361,29,16,5,6,4.933,2.121,0.256,0.145,-2.787
barrel,0.3248,0.3013,32,17,4,6,3.392,2.142,0.287,0.14,2.877
barrel,0.6414,0.5879,19,23,12,5,12.208,2.187,0.38,0.396,-2.976
barrel,0.1197,0.1309,29,10,13,7,12.915,0.828,0.215,0.154,2.646
barrel,0.1449,0.4008,26,14,3,6,14.111,1.637,0.623,0.187,-2.783
barrel,0.2169,0.4721,26,19,9,7,4.274,1.227,0.385,0.215,0.449
barrel,0.5082,0.1901,27,12,9,6,11.005,1.055,0.217,0.158,-2.357
barrel,0.0554,0.294,30,10,14,2,10.51,1.513,0.379,0.19,-2.073
barrel,0.3269,0.2559,23,14,7,6,5.61,0.806,0.353,0.259,0.372
barrel,0.4285,0.7233,27,13,6,4,3.47,1.069,0.417,0.203,2.208
barrel,0.2144,0.0149,34,12,8,4,4.674,1.798,0.284,0.324,-1.488
