region,scoreNN1b,scoreNN2b,nMDT,nRPC,nTGC,nBOL,clusE,rms_clustime,mindR,isolation,MET_dphi
barrel,0.5853,0.7621,73,21,11,4,4.885,0.662,0.297,0.176,0.994
barrel,0.644,0.9376,51,25,8,5,5.944,1.163,0.369,0.282,-0.57
barrel,0.7588,0.7741,67,31,8,7,3.624,0.72,0.464,0.142,-0.694
barrel,0.7885,0.6283,49,25,10,9,6.723,1.412,0.332,0.309,-2.075
barrel,0.6145,0.5254,51,28,11,4,6.009,1.49,0.348,0.034,-2.115
barrel,0.4616,0.4477,50,34,11,3,4.095,1.529,0.31,0.331,2.165
barrel,0.6374,0.664,63,24,7,6,7.653,1.58,0.199,0.115,1.651
barrel,0.6121,0.8782,56,24,8,5,1.695,0.962,0.257,0.301,-0.805
barrel,0.589,0.6364,64,21,2,4,11.218,2.145,0.27,0.193,1.208
barrel,0.7563,0.7477,48,22,8,5,6.353,1.564,0.445,0.248,-0.946
barrel,0.576,0.6688,60,33,15,3,6.929,1.826,0.292,0.16,2.299
barrel,1.0,0.9002,51,34,9,4,5.05,2.358,0.333,0.036,-3.0
barrel,0.6881,0.6704,58,32,9,10,5.567,0.982,0.332,0.128,-2.399
barrel,0.4718,0.5019,51,32,12,5,3.444,1.883,0.455,0.108,0.197
barrel,0.8833,0.7871,76,34,9,8,8.649,1.375,0.326,0.246,2.507
barrel,0.6654,0.5246,39,26,9,6,1.916,1.238,0.378,0.07,1.486
barrel,0.6523,0.7963,50,40,4,6,0.937,0.025,0.224,0.199,-0.375
barrel,0.7535,0.7756,48,37,6,3,3.874,1.686,0.428,0.229,-1.151
barrel,0.9524,0.9773,54,28,19,4,4.135,1.444,0.365,0.176,0.271
barrel,0.7765,0.5773,55,28,8,5,3.974,1.945,0.169,0.016,0.825
barrel,0.5972,0.5818,65,31,6,3,2.461,0.829,0.541,0.281,-0.843
barrel,0.8422,0.8506,57,22,10,5,7.2,1.494,0.295,0.253,2.099
barrel,0.4815,0.5069,65,26,10,3,3.331,1.216,0.475,0.21,-0.724
barrel,0.7617,0.7896,54,39,10,6,5.734,1.009,0.261,0.085,-2.745
barrel,0.5606,0.6201,72,20,5,2,5.278,1.313,0.471,0.126,-2.495
barrel,0.5489,0.4589,65,21,9,6,2.0,1.476,0.223,0.075,-2.207
barrel,0.7128,0.7248,61,34,7,3,1.673,1.467,0.411,0.295,2.365
barrel,0.8548,0.7445,55,20,11,6,4.7,0.412,0.281,0.114,2.073
barrel,0.5541,0.8493,60,17,10,6,5.529,1.622,0.18,0.174,-1.537
barrel,0.6734,0.6802,52,28,8,7,12.369,0.469,0.293,0.316,1.778
barrel,0.659,0.8613,47,25,5,6,3.95,2.224,0.233,0.28,-2.509
barrel,0.5226,0.4239,52,19,7,4,12.253,1.299,0.167,0.158,-0.088
barrel,0.8476,0.8531,57,30,13,6,2.16,1.894,0.193,0.143,2.74
barrel,0.7498,0.8117,50,24,6,8,12.174,2.527,0.391,0.127,2.991
